iter	Passed	Remaining
0	82	1569
1	87	790
2	92	523
3	95	381
4	99	299
5	105	246
6	110	205
7	113	170
8	117	143
9	120	120
10	124	101
11	127	84
12	130	70
13	134	57
14	138	46
15	143	35
16	146	25
17	149	16
18	155	8
19	159	0
